MH,Maharashtra
GJ,Gujarat
UP,Uttar Pradesh
UK,Uttarakhand
RJ,Rajasthan
AS,Assam
WB,West Bengal
TN,Tamil Nadu
JK,Jammu & Kashmir
PB,Punjab
HR,Haryana
CG,Chhattisgarh
BH,Bihar
KN,Karnataka
KL,Kerala
GA,Goa
TN,Telangana
AP,Andhra Pradesh
HP,Himachal Pradesh
SK,Sikkim
MN,Manipur
MP,Madhya Pradesh
DL,Delhi
JH,Jharkhand
NL,Nagaland
MZ,Mizoram
TR,Tripura
DN,Dadar & Nagar Haveli
DD,Daman & Diu
PY,Pondicherry
CH,Chandigarh
HP,Himachal Pradesh
OD,Odisha
AN,Andaman & Nicobar Islands
LD, Lakshwadeep
ML,Meghalaya
MZ,Mizoram